what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270038500456
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.VariableView",1270038507564
activated,view,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.DebugView",1270038540544
executed,command,org.eclipse.debug.ui,3.5.2.v20091028_r352,"org.eclipse.debug.ui.commands.Resume",1270038540667
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270038542711
executed,command,org.eclipse.ui.workbench.texteditor,3.5.1.r352_v20100105,"org.eclipse.ui.edit.text.goto.lineStart",1270038561292
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1270038570672
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270038590744
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270039382675
activated,perspective,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.JavaPerspective",1270039392417
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1270039395460
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270039402683
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270039403942
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270039406810
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270039417666
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270039421966
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270039428845
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270039429057
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270039429101
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1270039430805
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270039433009
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1270039444688
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1270039444966
